r,g,b,name,class
0,140,255,208,4
0,136,255,209,4
0,131,255,210,4
0,127,255,211,4
0,123,255,212,4
0,118,255,213,4
0,114,255,214,4
0,110,255,215,4
0,106,255,216,4
0,101,255,217,4
0,97,255,218,4
0,93,255,219,4
0,89,255,220,4
0,84,255,221,4
0,80,255,222,4
0,76,255,223,4
0,72,255,224,4
0,67,255,225,4
0,63,255,226,4
0,59,255,227,4
0,55,255,228,4
0,50,255,229,4
0,46,255,230,4
0,42,255,231,4
0,38,255,232,4
0,33,255,233,4
0,29,255,234,4
0,25,255,235,4
0,21,255,236,4
0,16,255,237,4
0,12,255,238,4
0,8,255,239,4
0,4,255,240,4
0,0,255,241,4
4,0,255,242,5
8,0,255,243,5
12,0,255,244,5
16,0,255,245,5
21,0,255,246,5
25,0,255,247,5
29,0,255,248,5
33,0,255,249,5
38,0,255,250,5
42,0,255,251,5
46,0,255,252,5
50,0,255,253,5
55,0,255,254,5
59,0,255,255,5
63,0,255,256,5
68,0,255,257,5
72,0,255,258,5
76,0,255,259,5
80,0,255,260,5
85,0,255,261,5
89,0,255,262,5
93,0,255,263,5
97,0,255,264,5
101,0,255,265,5
106,0,255,266,5
110,0,255,267,5
114,0,255,268,5
118,0,255,269,5
123,0,255,270,5
127,0,255,271,5
131,0,255,272,5
135,0,255,273,5
140,0,255,274,5
144,0,255,275,5
148,0,255,276,5
153,0,255,277,5
157,0,255,278,5
161,0,255,279,5
165,0,255,280,5
170,0,255,281,5
174,0,255,282,5
178,0,255,283,5
182,0,255,284,5
187,0,255,285,5
191,0,255,286,5
195,0,255,287,5
199,0,255,288,5
203,0,255,289,5
208,0,255,290,5
212,0,255,291,5
216,0,255,292,5
220,0,255,293,5
225,0,255,294,5
229,0,255,295,5
233,0,255,296,5
237,0,255,297,6
242,0,255,298,6
246,0,255,299,6
250,0,255,300,6
255,0,254,301,6
255,0,250,302,6
255,0,246,303,6
255,0,242,304,6
255,0,238,305,6
255,0,233,306,6
255,0,229,307,6
255,0,225,308,6
255,0,221,309,6
255,0,216,310,6
255,0,212,311,6
255,0,208,312,6
255,0,203,313,6
255,0,199,314,6
255,0,195,315,6
255,0,191,316,6
255,0,186,317,6
255,0,182,318,6
255,0,178,319,6
255,0,174,320,6
255,0,169,321,6
255,0,165,322,6
255,0,161,323,6
255,0,157,324,6
255,0,152,325,6
255,0,148,326,6
255,0,144,327,6
255,0,140,328,6
255,0,136,329,6
255,0,131,330,6
255,0,127,331,6
255,0,123,332,6
255,0,118,333,6
255,0,114,334,6
255,0,110,335,6
255,0,106,336,6
255,0,101,337,6
255,0,97,338,6
255,0,93,339,6
255,0,89,340,6
255,0,84,341,6
255,0,80,342,6
255,0,76,343,6
255,0,72,344,6
255,0,67,345,6
255,0,63,346,6
255,0,59,347,6
255,0,55,348,6
255,0,50,349,6
255,0,46,350,6
255,0,42,351,6
255,0,38,352,6
255,0,34,353,6
255,0,29,354,6
255,0,25,355,6
255,0,21,356,6
255,0,16,357,6
255,0,12,358,6
255,0,8,359,6
255,0,4,360,6
